url,status_code,content_type,last_modified,content_length,size,referrer,timestamp
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-f-recto/smthumb@2x/,200,image/jpeg,,23501,23501,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.738543
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-d-verso/smthumb@2x/,200,image/jpeg,,10720,10720,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.819166
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-a-verso/smthumb/,200,image/jpeg,,5367,5367,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.840815
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-a-recto/smthumb/,200,image/jpeg,,3068,3068,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.962130
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-c-verso/smthumb@2x/,200,image/jpeg,,15507,15507,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.056434
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-360-361-insertion-a-verso/smthumb/,200,image/jpeg,,2109,2109,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.118117
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-d-recto/smthumb@2x/,200,image/jpeg,,13624,13624,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.380787
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-e-recto/smthumb@2x/,200,image/jpeg,,15618,15618,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.382520
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-b-recto/smthumb@2x/,200,image/jpeg,,13052,13052,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.436699
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-b-verso/smthumb@2x/,200,image/jpeg,,15049,15049,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.507500
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-360-361-insertion-a-recto/smthumb/,200,image/jpeg,,3653,3653,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.531284
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-c-recto/smthumb@2x/,200,image/jpeg,,16886,16886,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.537748
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-352-353-insertion-c-ii-verso/smthumb/,200,image/jpeg,,1959,1959,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:48.558949
